o2used,comrte,tothired,totmembers,camps,year,success,ratio_hired,season_Spring,season_Summer,season_Winter,peakid_Autre,peakid_BARU,peakid_CHOY,peakid_DHA1,peakid_EVER,peakid_LHOT,peakid_MAKA,peakid_MANA
1,0,9,10,6,1960,1,0.9,1,0,0,1,0,0,0,0,0,0,0
0,0,0,10,6,1969,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,8,6,5,1973,1,1.3333333333333333,1,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,1978,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,3,0,1979,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,6,4,1980,0,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0
0,0,2,7,4,1980,0,0.2857142857142857,1,0,0,1,0,0,0,0,0,0,0
0,0,0,19,3,1981,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,3,9,5,1981,0,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0
0,0,0,5,5,1982,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,5,3,1983,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,3,5,3,1983,1,0.6,0,0,0,1,0,0,0,0,0,0,0
0,0,4,6,5,1983,0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0
0,0,2,4,3,1983,0,0.5,0,0,1,1,0,0,0,0,0,0,0
0,0,0,3,2,1984,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,2,4,0,1984,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0,0,5,8,4,1985,0,0.625,0,0,0,1,0,0,0,0,0,0,0
0,0,0,7,3,1986,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,9,5,1986,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,4,7,3,1990,0,0.5714285714285714,0,0,0,1,0,0,0,0,0,0,0
0,0,5,6,4,1950,0,0.8333333333333334,0,1,0,1,0,0,0,0,0,0,0
0,0,6,6,0,1952,0,1.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,1953,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,7,7,6,1953,0,1.0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,4,4,1955,1,0.5,1,0,0,1,0,0,0,0,0,0,0
0,0,4,2,4,1957,1,2.0,1,0,0,1,0,0,0,0,0,0,0
0,0,3,4,5,1960,1,0.75,1,0,0,1,0,0,0,0,0,0,0
0,0,1,9,4,1969,1,0.1111111111111111,0,0,0,1,0,0,0,0,0,0,0
0,0,0,10,5,1969,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,6,8,4,1970,1,0.75,1,0,0,1,0,0,0,0,0,0,0
0,0,5,4,4,1974,1,1.25,1,0,0,1,0,0,0,0,0,0,0
0,0,5,7,4,1978,1,0.7142857142857143,1,0,0,1,0,0,0,0,0,0,0
0,0,5,16,4,1979,0,0.3125,0,0,0,1,0,0,0,0,0,0,0
0,0,6,14,4,1980,1,0.42857142857142855,0,0,0,1,0,0,0,0,0,0,0
0,0,3,7,4,1981,1,0.42857142857142855,1,0,0,1,0,0,0,0,0,0,0
0,0,0,19,4,1981,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,8,3,1981,1,0.25,0,0,1,1,0,0,0,0,0,0,0
0,0,1,4,4,1983,1,0.25,1,0,0,1,0,0,0,0,0,0,0
0,0,3,15,3,1983,1,0.2,0,0,0,1,0,0,0,0,0,0,0
0,0,2,10,3,1984,0,0.2,0,0,0,1,0,0,0,0,0,0,0
0,0,2,9,2,1984,0,0.2222222222222222,0,0,0,1,0,0,0,0,0,0,0
0,0,0,15,0,1985,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,5,35,3,1986,1,0.14285714285714285,1,0,0,1,0,0,0,0,0,0,0
0,0,2,9,4,1986,1,0.2222222222222222,0,0,0,1,0,0,0,0,0,0,0
0,0,2,6,0,1987,0,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0
0,0,2,15,3,1987,0,0.13333333333333333,0,0,0,1,0,0,0,0,0,0,0
0,0,4,7,3,1987,1,0.5714285714285714,0,0,0,1,0,0,0,0,0,0,0
0,0,2,9,3,1989,1,0.2222222222222222,0,0,0,1,0,0,0,0,0,0,0
0,0,5,12,3,1990,0,0.4166666666666667,0,0,0,1,0,0,0,0,0,0,0
0,0,3,10,3,1990,0,0.3,0,0,0,1,0,0,0,0,0,0,0
1,0,7,8,3,1990,1,0.875,0,0,0,1,0,0,0,0,0,0,0
